Location Name,Drum,Color,Qty,Capacity
Detroit,1,Coloring Agent6,6205.502,300000.0
Detroit,2,Coloring Agent39,7856.901,300000.0
Detroit,3,Coloring Agent20,0.0,300000.0
Detroit,4,Coloring Agent10,0.0,300000.0
Detroit,5,Coloring Agent16,1027.3,300000.0
Detroit,6,Coloring Agent9,0.0,300000.0
Detroit,7,Coloring Agent17,0.0,300000.0
Detroit,8,Coloring Agent24,0.0,300000.0
Detroit,9,Coloring Agent11,0.0,300000.0
Detroit,10,Coloring Agent33,0.0,300000.0
Detroit,11,Coloring Agent25,0.0,300000.0
Detroit,12,Coloring Agent7,8895.0,300000.0
Detroit,13,Coloring Agent3,0.0,300000.0
Detroit,14,Coloring Agent28,-0.002,300000.0
Detroit,15,Coloring Agent30,0.0,300000.0
Detroit,16,Coloring Agent18,0.0,300000.0
Detroit,17,Coloring Agent30,9942.818,300000.0
Detroit,18,Coloring Agent40,0.0,300000.0
Detroit,20,Coloring Agent27,0.0,300000.0
Detroit,21,Coloring Agent11,9743.0,300000.0
Detroit,22,Coloring Agent13,0.0,300000.0
Detroit,23,Coloring Agent27,436.15,300000.0
Detroit,25,Coloring Agent37,0.0,300000.0
Detroit,26,Coloring Agent17,0.0,300000.0
Detroit,27,Coloring Agent14,9346.455,300000.0
Detroit,28,Coloring Agent38,8078.969,300000.0
Detroit,29,Coloring Agent36,0.0,300000.0
Detroit,30,Coloring Agent21,0.0,300000.0
Detroit,31,Coloring Agent22,0.0,300000.0
Detroit,32,Coloring Agent12,0.0,300000.0
Detroit,33,Coloring Agent19,0.0,300000.0
Detroit,34,Coloring Agent4,0.0,300000.0
Detroit,35,Coloring Agent8,0.0,300000.0
Detroit,36,Coloring Agent32,-0.001,300000.0
Detroit,37,Coloring Agent23,0.0,300000.0
Detroit,39,Coloring Agent35,0.001,300000.0
Detroit,40,Coloring Agent15,4611.971,300000.0
Detroit,19,,0.0,300000.0
Detroit,24,,0.0,300000.0
Detroit,38,,0.0,300000.0
Columbus,1,Coloring Agent23,320000.0,320000.0
Columbus,2,Coloring Agent19,308991.0,320000.0
Columbus,3,Coloring Agent15,320000.0,320000.0
Columbus,4,Coloring Agent36,320000.0,320000.0
Columbus,5,Coloring Agent38,320000.0,320000.0
Columbus,6,Coloring Agent39,320000.0,320000.0
Columbus,7,Coloring Agent40,320000.0,320000.0
Columbus,8,Coloring Agent9,320000.0,320000.0
Columbus,9,Coloring Agent18,320000.0,320000.0
Columbus,10,Coloring Agent32,320000.0,320000.0
Columbus,11,Coloring Agent10,320000.0,320000.0
Columbus,12,Coloring Agent25,320000.0,320000.0
Columbus,13,Coloring Agent6,320000.0,320000.0
Columbus,15,Coloring Agent4,320000.0,320000.0
Columbus,16,Coloring Agent13,320000.0,320000.0
Columbus,17,Coloring Agent7,320000.0,320000.0
Columbus,18,Coloring Agent37,320000.0,320000.0
Columbus,19,Coloring Agent8,320000.0,320000.0
Columbus,20,Coloring Agent21,266875.0,320000.0
Columbus,21,Coloring Agent14,320000.0,320000.0
Columbus,22,Coloring Agent28,320000.0,320000.0
Columbus,23,Coloring Agent20,320000.0,320000.0
Columbus,24,Coloring Agent3,320000.0,320000.0
Columbus,25,Coloring Agent22,320000.0,320000.0
Columbus,26,Coloring Agent33,320000.0,320000.0
Columbus,27,Coloring Agent16,320000.0,320000.0
Columbus,28,Coloring Agent35,320000.0,320000.0
Columbus,29,Coloring Agent12,320000.0,320000.0
Columbus,30,Coloring Agent24,320000.0,320000.0
Columbus,14,,0.0,320000.0
Springfield,1,Coloring Agent20,88000.0,88000.0
Springfield,2,Coloring Agent2,88000.0,88000.0
Springfield,3,Coloring Agent3,88000.0,88000.0
Springfield,4,Coloring Agent35,88000.0,88000.0
Springfield,5,Coloring Agent36,88000.0,88000.0
Springfield,6,Coloring Agent5,88000.0,88000.0
Springfield,7,Coloring Agent7,88000.0,88000.0
Springfield,8,Coloring Agent23,88000.0,88000.0
Springfield,9,Coloring Agent1,88000.0,88000.0
Springfield,10,Coloring Agent26,88000.0,88000.0
Springfield,11,Coloring Agent5,67211.0,88000.0
Springfield,12,Coloring Agent16,49125.0,88000.0
Springfield,13,Coloring Agent4,88000.0,88000.0
Springfield,14,Coloring Agent1,31685.0,88000.0
