Location Name,Drum,Color,Qty,Capacity
Columbus,1,Coloring Agent23,460.575,320000.0
Columbus,2,Coloring Agent9,0.0,320000.0
Columbus,3,Coloring Agent16,6566.666,320000.0
Columbus,5,Coloring Agent38,0.0,320000.0
Columbus,6,Coloring Agent36,3177.736,320000.0
Columbus,8,Coloring Agent8,6457.469,320000.0
Columbus,9,Coloring Agent22,0.0,320000.0
Columbus,10,Coloring Agent24,8636.5,320000.0
Columbus,11,Coloring Agent19,5949.333,320000.0
Columbus,12,Coloring Agent7,0.0,320000.0
Columbus,13,Coloring Agent32,0.0,320000.0
Columbus,14,Coloring Agent21,5553.124,320000.0
Columbus,15,Coloring Agent33,0.0,320000.0
Columbus,16,Coloring Agent10,8991.0,320000.0
Columbus,18,Coloring Agent39,0.0,320000.0
Columbus,19,Coloring Agent20,0.0,320000.0
Columbus,20,Coloring Agent18,0.0,320000.0
Columbus,21,Coloring Agent28,6589.857,320000.0
Columbus,22,Coloring Agent3,0.0,320000.0
Columbus,23,Coloring Agent4,7776.209,320000.0
Columbus,24,Coloring Agent6,6032.609,320000.0
Columbus,25,Coloring Agent12,0.0,320000.0
Columbus,26,Coloring Agent37,7902.5,320000.0
Columbus,27,Coloring Agent15,0.0,320000.0
Columbus,28,Coloring Agent35,0.0,320000.0
Columbus,29,Coloring Agent25,6965.555,320000.0
Columbus,30,Coloring Agent14,0.0,320000.0
Columbus,4,,0.0,320000.0
Columbus,7,,0.0,320000.0
Columbus,17,,0.0,320000.0
