Location Name,Drum,Color,Qty,Capacity
Detroit,1,Coloring Agent7,300000.0,300000
Detroit,2,Coloring Agent24,300000.0,300000
Detroit,3,Coloring Agent40,179135.0,300000
Detroit,4,Coloring Agent25,300000.0,300000
Detroit,5,Coloring Agent28,300000.0,300000
Detroit,6,Coloring Agent14,300000.0,300000
Detroit,7,Coloring Agent11,172698.0,300000
Detroit,8,Coloring Agent21,299999.9999993187,300000
Detroit,9,Coloring Agent12,300000.0,300000
Detroit,10,Coloring Agent16,300000.0,300000
Detroit,11,Coloring Agent37,300000.0000000773,300000
Detroit,13,Coloring Agent30,300000.0,300000
Detroit,14,Coloring Agent10,299999.9999997097,300000
Detroit,15,Coloring Agent6,300000.0,300000
Detroit,16,Coloring Agent19,299999.9999999966,300000
Detroit,17,Coloring Agent22,299999.99999986833,300000
Detroit,18,Coloring Agent8,300000.0,300000
Detroit,19,Coloring Agent40,300000.0,300000
Detroit,20,Coloring Agent23,299999.99999986973,300000
Detroit,21,Coloring Agent27,300000.0,300000
Detroit,22,Coloring Agent17,211744.99999987296,300000
Detroit,23,Coloring Agent3,299999.99999987346,300000
Detroit,24,Coloring Agent4,300000.0,300000
Detroit,25,Coloring Agent35,300000.0,300000
Detroit,26,Coloring Agent39,300000.0,300000
Detroit,27,Coloring Agent9,300000.0,300000
Detroit,28,Coloring Agent18,300000.0,300000
Detroit,29,Coloring Agent27,200140.0,300000
Detroit,30,Coloring Agent17,300000.0000001807,300000
Detroit,31,Coloring Agent15,299999.99999986903,300000
Detroit,32,Coloring Agent38,300000.0,300000
Detroit,33,Coloring Agent33,300000.0,300000
Detroit,34,Coloring Agent32,300000.0,300000
Detroit,35,Coloring Agent13,300000.0,300000
Detroit,36,Coloring Agent11,300000.0,300000
Detroit,37,Coloring Agent36,300000.0,300000
Detroit,38,Coloring Agent30,191861.0,300000
Detroit,39,Coloring Agent20,300000.0,300000
Detroit,12,,,300000
Detroit,40,,,300000
Columbus,1,Coloring Agent7,300000.0,320000
Columbus,2,Coloring Agent24,300000.0,320000
Columbus,3,Coloring Agent40,179135.0,320000
Columbus,4,Coloring Agent25,300000.0,320000
Columbus,5,Coloring Agent28,300000.0,320000
Columbus,6,Coloring Agent14,300000.0,320000
Columbus,7,Coloring Agent11,172698.0,320000
Columbus,8,Coloring Agent21,299999.9999993187,320000
Columbus,9,Coloring Agent12,300000.0,320000
Columbus,10,Coloring Agent16,300000.0,320000
Columbus,11,Coloring Agent37,300000.0000000773,320000
Columbus,13,Coloring Agent30,300000.0,320000
Columbus,14,Coloring Agent10,299999.9999997097,320000
Columbus,15,Coloring Agent6,300000.0,320000
Columbus,16,Coloring Agent19,299999.9999999966,320000
Columbus,17,Coloring Agent22,299999.99999986833,320000
Columbus,18,Coloring Agent8,300000.0,320000
Columbus,19,Coloring Agent40,300000.0,320000
Columbus,20,Coloring Agent23,299999.99999986973,320000
Columbus,21,Coloring Agent27,300000.0,320000
Columbus,22,Coloring Agent17,211744.99999987296,320000
Columbus,23,Coloring Agent3,299999.99999987346,320000
