Location Name,Drum,Color,Qty,Capacity
Detroit,1,Coloring Agent24,300000.0,300000
Detroit,2,Coloring Agent14,300000.0,300000
Detroit,3,Coloring Agent33,300000.0,300000
Detroit,4,Coloring Agent40,179135.0,300000
Detroit,5,Coloring Agent30,300000.0,300000
Detroit,6,Coloring Agent39,300000.0,300000
Detroit,7,Coloring Agent11,172698.0,300000
Detroit,8,Coloring Agent7,300000.0,300000
Detroit,9,Coloring Agent30,191861.0,300000
Detroit,10,Coloring Agent11,300000.0,300000
Detroit,11,Coloring Agent20,300000.0,300000
Detroit,13,Coloring Agent32,300000.0,300000
Detroit,14,Coloring Agent8,300000.0,300000
Detroit,17,Coloring Agent27,300000.0,300000
Detroit,18,Coloring Agent27,200140.0,300000
Detroit,19,Coloring Agent37,300000.0,300000
Detroit,20,Coloring Agent40,300000.0,300000
Detroit,21,Coloring Agent35,300000.0,300000
Detroit,22,Coloring Agent13,300000.0,300000
Detroit,23,Coloring Agent16,300000.0,300000
Detroit,24,Coloring Agent3,300000.0,300000
Detroit,25,Coloring Agent23,300000.0,300000
Detroit,26,Coloring Agent6,300000.0,300000
Detroit,27,Coloring Agent36,300000.0,300000
Detroit,28,Coloring Agent18,300000.0,300000
Detroit,29,Coloring Agent17,181745.0,300000
Detroit,30,Coloring Agent15,300000.0,300000
Detroit,31,Coloring Agent22,300000.0,300000
Detroit,32,Coloring Agent28,300000.0,300000
Detroit,33,Coloring Agent19,300000.0,300000
Detroit,34,Coloring Agent12,300000.0,300000
Detroit,35,Coloring Agent9,300000.0,300000
Detroit,36,Coloring Agent25,300000.0,300000
Detroit,37,Coloring Agent21,300000.0,300000
Detroit,38,Coloring Agent38,300000.0,300000
Detroit,39,Coloring Agent4,300000.0,300000
Detroit,40,Coloring Agent10,300000.0,300000
Detroit,12,,,300000
Detroit,15,,,300000
Detroit,16,,,300000
Columbus,1,Coloring Agent23,320000.0,320000
Columbus,2,Coloring Agent9,320000.0,320000
Columbus,3,Coloring Agent16,320000.0,320000
Columbus,5,Coloring Agent38,320000.0,320000
Columbus,6,Coloring Agent36,320000.0,320000
Columbus,8,Coloring Agent8,320000.0,320000
Columbus,9,Coloring Agent22,320000.0,320000
Columbus,10,Coloring Agent24,320000.0,320000
Columbus,11,Coloring Agent19,308991.0,320000
Columbus,12,Coloring Agent7,320000.0,320000
Columbus,13,Coloring Agent32,320000.0,320000
Columbus,14,Coloring Agent21,266875.0,320000
Columbus,15,Coloring Agent33,320000.0,320000
Columbus,16,Coloring Agent10,320000.0,320000
Columbus,18,Coloring Agent39,320000.0,320000
Columbus,19,Coloring Agent20,320000.0,320000
Columbus,20,Coloring Agent18,320000.0,320000
Columbus,21,Coloring Agent28,320000.0,320000
Columbus,22,Coloring Agent3,320000.0,320000
Columbus,23,Coloring Agent4,320000.0,320000
Columbus,24,Coloring Agent6,320000.0,320000
Columbus,25,Coloring Agent12,320000.0,320000
Columbus,26,Coloring Agent37,320000.0,320000
Columbus,27,Coloring Agent15,320000.0,320000
Columbus,28,Coloring Agent35,320000.0,320000
Columbus,29,Coloring Agent25,320000.0,320000
Columbus,30,Coloring Agent14,320000.0,320000
Columbus,4,,,320000
Columbus,7,,,320000
Columbus,17,,,320000
Springfield,1,Coloring Agent10,88000.0,88000
Springfield,3,Coloring Agent20,88000.0,88000
Springfield,4,Coloring Agent40,88000.0,88000
Springfield,5,Coloring Agent1,88000.0,88000
Springfield,6,Coloring Agent8,88000.0,88000
Springfield,7,Coloring Agent14,88000.0,88000
Springfield,9,Coloring Agent37,88000.0,88000
Springfield,10,Coloring Agent5,88000.0,88000
Springfield,11,Coloring Agent16,49125.0,88000
Springfield,12,Coloring Agent2,88000.0,88000
Springfield,13,Coloring Agent26,88000.0,88000
Springfield,14,Coloring Agent32,88000.0,88000
Springfield,15,Coloring Agent28,54247.0,88000
Springfield,16,Coloring Agent22,88000.0,88000
Springfield,17,Coloring Agent15,88000.0,88000
Springfield,18,Coloring Agent29,88000.0,88000
Springfield,19,Coloring Agent2,88000.0,88000
Springfield,20,Coloring Agent5,67211.0,88000
Springfield,21,Coloring Agent29,88000.0,88000
Springfield,22,Coloring Agent9,88000.0,88000
Springfield,23,Coloring Agent25,88000.0,88000
Springfield,24,Coloring Agent26,88000.0,88000
Springfield,25,Coloring Agent6,88000.0,88000
Springfield,26,Coloring Agent31,88000.0,88000
Springfield,27,Coloring Agent27,88000.0,88000
Springfield,28,Coloring Agent1,88000.0,88000
Springfield,29,Coloring Agent11,88000.0,88000
